uid,domainID,siteID,namedLocation,date,eventID,sampleDepth,waterTemp,specificConductance,dissolvedOxygen,dissolvedOxygenSaturation,dataQF,publicationDate,release
809cb96b-0a26-477f-a331-cc3c0e07df24,D03,BARC,BARC.AOS.buoy.c0,2015-06-24T16:00Z,BARC.c0.20150624,4,31.2,58.2,4.7,62,,20211222T041812Z,RELEASE-2022
730f4bcf-3ba4-4cbe-8ef0-9580e21bbde8,D03,BARC,BARC.AOS.buoy.c0,2015-07-01T16:00Z,BARC.c0.20150701,0.5,30.5,55.2,5.7,74,,20211222T025940Z,RELEASE-2022
46ed2468-bfc2-4045-9a5b-63fa747341d7,D03,BARC,BARC.AOS.buoy.c0,2015-07-01T16:00Z,BARC.c0.20150701,2.5,30.5,57.4,5.5,73,,20211222T025940Z,RELEASE-2022
5bc18f50-f1de-4e80-821c-d6ba1fb1f2d5,D03,BARC,BARC.AOS.buoy.c0,2015-07-01T16:00Z,BARC.c0.20150701,2,30.5,57.4,5.8,77,,20211222T025940Z,RELEASE-2022
b8e79866-c78b-4c23-9754-b7d9faa2f43d,D03,BARC,BARC.AOS.buoy.c0,2015-07-01T16:00Z,BARC.c0.20150701,1,30.5,57.3,5.7,77,,20211222T025940Z,RELEASE-2022
73218cdb-fabb-48d7-8a99-8bbab709dfed,D03,BARC,BARC.AOS.buoy.c0,2015-07-01T16:00Z,BARC.c0.20150701,4.5,30.4,57.6,5.7,76,,20211222T025940Z,RELEASE-2022
86e7b37a-2357-4b39-b816-c3e6bbb68d80,D03,BARC,BARC.AOS.buoy.c0,2015-07-01T16:00Z,BARC.c0.20150701,1.5,30.5,57.4,5.8,77,,20211222T025940Z,RELEASE-2022
dd9100e3-f1f4-44d3-b1c6-e234d3828cbd,D03,BARC,BARC.AOS.buoy.c0,2015-07-01T16:00Z,BARC.c0.20150701,3.5,30.4,57.5,5.7,75,,20211222T025940Z,RELEASE-2022
2a7dac70-430e-4dd5-b32f-d0162fd7c14b,D03,BARC,BARC.AOS.buoy.c0,2015-07-01T16:00Z,BARC.c0.20150701,3,30.5,57.4,6,79,,20211222T025940Z,RELEASE-2022
a4f8c461-0431-492a-9f64-b715a134ee19,D03,BARC,BARC.AOS.buoy.c0,2015-07-01T16:00Z,BARC.c0.20150701,4,30.4,57.5,5.9,79,,20211222T025940Z,RELEASE-2022
13165327-f027-4e36-96a5-7255a9007eb8,D03,BARC,BARC.AOS.buoy.c0,2015-07-15T16:00Z,BARC.c0.20150715,4,31.3,56.4,6.2,84,,20211222T025940Z,RELEASE-2022
97668a3f-8465-4bd1-b7e8-1b37870848bb,D03,BARC,BARC.AOS.buoy.c0,2015-07-15T16:00Z,BARC.c0.20150715,2.5,31.3,56,6.2,84,,20211222T025940Z,RELEASE-2022
